"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1420251";"";"Enseignant";"BAMTAR001";"Kaba";"kaba.bamtar001";"kaba.bamtar001";"mxy58bv4";"SANS OBJET, HISTOIRE GEOGRAPHIE";"CLG-JEAN MOULIN-SAINT-JACQUES-DE-LA-LANDE, LGT-BREQUIGNY-RENNES";"6B, 6D, 3C, 5A, 5C, ";"";""
"810";"";"Enseignant";"BANA001";"Sefana";"sefana.bana001";"sefana.bana001";"ys6eprf7";"SANS OBJET, MATHEMATIQUES, MATHEMATIQUES";"LGT-BREQUIGNY-RENNES, CLG-JACQUES BREL-NOYAL-SUR-VILAINE, CLG-DU QUERPON-VAL D'ANAST";"";"";"Jannice VASNET001, Maximilian HARGREAVES001"
"1780765";"";"Enseignant";"BANIYAM001";"Marie-Christophe";"marie-christophe.baniyam001";"marie-christophe.baniyam001";"j7ywrkpf";"SANS OBJET, ANGLAIS";"LGT-BREQUIGNY-RENNES, CLG-NOEL DU FAIL-GUICHEN";", 4 G, 4 F, 3 G, 3 E";"";""
"1123728";"";"Enseignant";"BARAM001";"Tiziri";"tiziri.baram001";"tiziri.baram001";"c3688hmz";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"201, 108";"";""
"1121789";"";"Enseignant";"BARBERA001";"Thaïrys";"thairys.barbera001";"thairys.barbera001";"mc9vd56g";"BIOCHIMIE-GENIE BIOLOGIQUE";"LGT-BREQUIGNY-RENNES";"TST2S2, BTS2ABM";"";""
"653497";"";"Enseignant";"BARTON001";"Alsace";"alsace.barton001";"alsace.barton001";"cb7raxy7";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-BREQUIGNY-RENNES";"1ST2S3, BTS2SPS";"";""
"506671";"";"Enseignant";"BASILE001";"Nourddine";"nourddine.basile001";"nourddine.basile001";"34zj3wgt";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LGT-BREQUIGNY-RENNES";"BTS2ATI, BTS1ATI";"";""
"1250227";"";"Enseignant";"BASNET001";"Victoriane";"victoriane.basnet001";"victoriane.basnet001";"rdsekh43";"ECO-GEST.OPTION CONCEPT ET GEST DES SI";"LGT-BREQUIGNY-RENNES";"BTS1CG, BTS2CG, BTS2SPS";"";""
"1363826";"";"Enseignant";"BASTOL001";"Spartaco";"spartaco.bastol001";"spartaco.bastol001";"4gnvtw4r";"SANS OBJET";"LGT-BREQUIGNY-RENNES";"";"";""
"1490710";"";"Enseignant";"BELLUCCI001";"Djebryl";"djebryl.bellucci001";"djebryl.bellucci001";"3dy65abt";"HISTOIRE GEOGRAPHIE";"LGT-BREQUIGNY-RENNES";"210, 1STMG3, 206, 103, TSTI2D2, 1STI2D2, 109, T10";"";""
"1600424";"";"Enseignant";"BERNARDINI001";"Ouaiba";"ouaiba.bernardini001";"ouaiba.bernardini001";"hk5xp8dk";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES, LGT-SEVIGNE-CESSON-SEVIGNE";", 1ERE04, TERM05, 1ERE09, 1ERE11, TERM11, TERM06, 1ERE03, TERM07, TERM09, TERM10, TERM08, TERM12, TERM04, 1ERE10";"";""
"132313";"";"Enseignant";"BERTOLI001";"Abbigaëlle";"abbigaelle.bertoli001";"abbigaelle.bertoli001";"bweacbh4";"SANS OBJET, SII OPTION INGENIERIE MECANIQUE";"LGT-BREQUIGNY-RENNES, LGT-JOLIOT-CURIE-RENNES";", 202, 201, 205, 1STI2D2, 1STI2D3";"";""
"336518";"";"Enseignant";"BEVAN001";"Noursine";"noursine.bevan001";"noursine.bevan001";"h8zpt7dk";"SANS OBJET, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"1STMG3, TSTMG2, 1STMG4, TSTMG3";"";""
"1163117";"";"Enseignant";"BHATTARAI001";"Bendhiba";"bendhiba.bhattarai001";"bendhiba.bhattarai001";"dpzv7nvn";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"TSTMG4";"";""
"1364823";"";"Enseignant";"BHETAWAL001";"Verlaine";"verlaine.bhetawal001";"verlaine.bhetawal001";"vh3crsbx";"LETTRES CLASSIQUES";"LGT-BREQUIGNY-RENNES";"1STMG4, BTS2SNEC, BTS1SNEC, 1ST2S2, 1ST2S1";"";""
"1420380";"";"Enseignant";"BIBI001";"Marcienne";"marcienne.bibi001";"marcienne.bibi001";"yc4k4hmz";"DOCUMENTATION, DOCUMENTATION";"LGT-BREQUIGNY-RENNES, LGT-RENE CASSIN-MONTFORT-SUR-MEU";"";"";""
"1070271";"";"Enseignant";"BINI001";"Diariatou";"diariatou.bini001";"diariatou.bini001";"d3mdf4jv";"ESPAGNOL";"LGT-BREQUIGNY-RENNES";"1STD2A, 213, 215, T06, 103, TSTMG4, BTS1SAM";"";""
"426414";"";"Enseignant";"BLAKE001";"Vedran";"vedran.blake001";"vedran.blake001";"bg3vzsw7";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-BREQUIGNY-RENNES";"205, 206, 204, 108, 214, 207, T04, T06, 106, T03, T05";"";""
"1926156";"";"Enseignant";"BOESE001";"Annas";"annas.boese001";"annas.boese001";"kvzdbdyj";"SANS OBJET, ADMINISTRATION";"LGT-BREQUIGNY-RENNES";"";"";""
"523850";"";"Enseignant";"BOMJAN001";"Leila";"leila.bomjan001";"leila.bomjan001";"6hnmcvr9";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"BTS1SAM, 1STMG4";"";""
"1623821";"";"Enseignant";"BRETT001";"Lean";"lean.brett001";"lean.brett001";"pvgew3tv";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"1STI2D2, 1STI2D1, DNMADE2, BTS2SNIR, BTS1ATI, DNMADE1";"";""
"1243046";"";"Enseignant";"BRODERICK001";"Daylan";"daylan.broderick001";"daylan.broderick001";"7ysyn5rb";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"DSAA2";"";""
"682674";"";"Enseignant";"BUCKLEY001";"Maeliss";"maeliss.buckley001";"maeliss.buckley001";"zd55yhrs";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"1STD2A, TSTD2A";"";""
"1443838";"";"Enseignant";"BULL001";"Mélïa";"melia.bull001";"melia.bull001";"kek5a59d";"ARTS PLASTIQUES";"LGT-BREQUIGNY-RENNES";"211, 104, 216";"";""
"1074532";"";"Enseignant";"BURT001";"Kaylane";"kaylane.burt001";"kaylane.burt001";"";"SANS OBJET, DOCUMENTATION, HISTOIRE GEOGRAPHIE";"CLG-THEODORE MONOD-VERN-SUR-SEICHE, LGT-BREQUIGNY-RENNES";"4C, 4D, 4F, 5F, ";"";""
"1323082";"";"Enseignant";"CALCAGNO001";"Bedra";"bedra.calcagno001";"bedra.calcagno001";"bxxbw6zd";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES";"208, 108, T11, 104, TST2S1, 107";"";""
"1532158";"";"Enseignant";"CALLAN001";"Izana";"izana.callan001";"izana.callan001";"6zwhenzf";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP-BREQUIGNY-RENNES, LGT-BREQUIGNY-RENNES";"TASP STR, 1STMG3, 217, 1STI2D3, 108, 1STL1, T10, T09, T07, 109, 1STI2D2, 1STMG1, TST2S1, 111, 1STMG2, T11, TSTI2D1, 1ST2S1, 102, 107, 1STI2D1, 101, TSTMG3, TSTMG4";"";""
"954994";"";"Enseignant";"CAREY001";"Carrie";"carrie.carey001";"carrie.carey001";"9xncvant";"SCIENCES PHYSIQUES ET CHIMIQUES, EDU.DEV.CONS.ORI";"LGT-BREQUIGNY-RENNES";"";"";""
"1615156";"";"Enseignant";"CAREY001";"Darla";"darla.carey001";"darla.carey001";"z5rb6nxj";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"T12, T11, T04, 107, 109, 105, 110, 1STMG2, 104, 108, 111, 106, TSTMG1, T06, T02, T08, T10, TSTI2D1, T09, T07, T05, 112, 215";"";"Kélyna DANIELE001, Sayf-Eddine ABOOBAKURU001"
"1653914";"";"Enseignant";"CHANTEL001";"Yamato";"yamato.chantel001";"yamato.chantel001";"vzdj4hcv";"SANS OBJET, SCIENCES ECONOMIQUES ET SOCIALES, SCIENCES ECONOMIQUES ET SOCIALES";"LGT-VICTOR ET HELENE BASCH-RENNES, LGT-RENE DESCARTES-RENNES, LGT-BREQUIGNY-RENNES";"209, 208, 2NDE4, 1G4, ";"";""
"1612605";"";"Enseignant";"CHANTYAL001";"Silvana";"silvana.chantyal001";"silvana.chantyal001";"n3s8zhxr";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"BTS2GPME, 107, 106, TST2S1, BTS1SAM, 111, 108";"";""
"1058460";"";"Enseignant";"CIMINO001";"Girel";"girel.cimino001";"girel.cimino001";"67cy889r";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"T03, TSTMG3, T07";"";""
"1722075";"";"Enseignant";"COKHAL001";"Alvira";"alvira.cokhal001";"alvira.cokhal001";"tmsk3w5k";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"BTS2SAM, DNMADE3, BTS1SAM, DSAA2, DSAA1";"";""
"1069482";"";"Enseignant";"COPE001";"Loélie";"loelie.cope001";"loelie.cope001";"rcggycj8";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"202, T01, 101, TSTMG3, TSTMG2, 1ST2S3";"";""
"263725";"";"Enseignant";"CORCORAN001";"Aza";"aza.corcoran001";"aza.corcoran001";"95kjgyf6";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"102, 210, BTS2SPS, BTS2ABM, BTS1ABM";"";""
"764477";"";"Enseignant";"COWLEY001";"Marie-Francoise";"marie-francoise.cowley001";"marie-francoise.cowley001";"hks6dwb9";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"103, TSTI2D2, T09, T12, 104, TST2S2, TSTD2A";"";""
"109773";"";"Enseignant";"CROCE001";"Roel";"roel.croce001";"roel.croce001";"3je866ws";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES";"T06, T09, T05, T08, BTS1SNEC, T07, 103";"";""
"59709";"";"Enseignant";"CROTTY001";"Madelie";"madelie.crotty001";"madelie.crotty001";"ebh6trjw";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"214, 1STMG2, 1ST2S1, TST2S2, TSTMG1";"";""
"1487013";"";"Enseignant";"CROWE001";"Aubrey";"aubrey.crowe001";"aubrey.crowe001";"d58yywnc";"LETTRES CLASSIQUES";"LGT-BREQUIGNY-RENNES";"204, 213, 112, 1STL1";"";""
"561419";"";"Enseignant";"D'AGOSTINO001";"Taylan";"taylan.dagostino001";"taylan.dagostino001";"gmnm8pve";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE, CLG-LE CHENE VERT-BAIN-DE-BRETAGNE, LGT-BEAUMONT-REDON, LGT-BREQUIGNY-RENNES";"1STMG2, 1STMG4, 3B, , 1STMG5, TSTMG5";"";""
"1950220";"";"Enseignant";"D'AMATO001";"Wilman";"wilman.damato001";"wilman.damato001";"fxnsffd4";"SII OPTION ENERGIE";"LGT-BREQUIGNY-RENNES";"209, TSTI2D2, BTS1ATI";"";""
"1021077";"";"Enseignant";"D'ARCY001";"Anna-Christina";"anna-christina.darcy001";"anna-christina.darcy001";"bksw5b7z";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"202, T10, T09, 106, 103, 1STMG4";"";""
"893226";"";"Enseignant";"D'ELIA001";"Tayrick";"tayrick.delia001";"tayrick.delia001";"yymykvcm";"SCIENCES PHYSIQUES ET CHIMIQUES, PHYSIQUE ET ELECTRICITE APPLIQUEE, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"1STD2A, BTS2SNEC, DNMADE2, DNMADE1";"";""
"675520";"";"Enseignant";"DADAL001";"Colas";"colas.dadal001";"colas.dadal001";"8kj54cew";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"111, 206, T07, T04, 1STI2D1, T08, T06";"";""
"1668066";"";"Enseignant";"DALE001";"Vittorio";"vittorio.dale001";"vittorio.dale001";"5jjxbcc6";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"DNMADE2, DNMADE3, DNMADE1";"";""
"1122359";"";"Enseignant";"DANIS001";"Ivanah";"ivanah.danis001";"ivanah.danis001";"5mkecxmd";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"BTS1GPME, BTS2GPME";"";""
"690684";"";"Enseignant";"DAPHALI001";"Deliah";"deliah.daphali001";"deliah.daphali001";"95kgz4r7";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-BREQUIGNY-RENNES";"1ST2S1, BTS1SPS, BTS2SPS";"";""
"1160272";"";"Enseignant";"DARLAMI001";"Ugo";"ugo.darlami001";"ugo.darlami001";"zrr5efh3";"SII OPTION INGENIERIE MECANIQUE";"LGT-BREQUIGNY-RENNES";"BTS1ATI, BTS2ATI";"";""
"1914320";"";"Enseignant";"DATTA001";"Chedy";"chedy.datta001";"chedy.datta001";"gm3ksjrf";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES";"214, 103, 110, T10, T03, T05, 107, T04";"";""
"1425500";"";"Enseignant";"DAVIS001";"Lenora";"lenora.davis001";"lenora.davis001";"s4dn6vyv";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-BREQUIGNY-RENNES";"106, 111, 104, 110, T07, 103, 105, T03";"";""
"416057";"";"Enseignant";"DAWOOD001";"Florianne";"florianne.dawood001";"florianne.dawood001";"dkm8gmgt";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"1STD2A, 208, TSTD2A";"";""
"1699290";"";"Enseignant";"DEASY001";"Eucher";"eucher.deasy001";"eucher.deasy001";"vtttpxfb";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-BREQUIGNY-RENNES, LP-BREQUIGNY-RENNES";"106, 208, T03, TSTMG2, TSTI2D3, 105, 110, T12, TSTMG5, T01, T05, TST2S3, TSTD2A, TST2S2, TSTI2D2, T08, T02, 1ASP DOM, 1ANIMAT, 1ASP STR";"";""
"1860756";"";"Enseignant";"DENTON001";"Cennet";"cennet.denton001";"cennet.denton001";"zsxs9ctm";"LETTRES ANGLAIS, ANGLAIS";"LP LYC METIER-JEAN JAURES-RENNES, LGT-BREQUIGNY-RENNES";"TMV, 2DMAD3, 3DMAD3, TCMV, 1HO, 1BMAHO, 1DMAD3, 3E PM, CQP-HO, DNMADE1";"";""
"860129";"";"Enseignant";"DEVINE001";"Emmy-Lou";"emmy-lou.devine001";"emmy-lou.devine001";"4ycrh7cd";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"109, 1STMG5, 217, 206";"";""
"539204";"";"Enseignant";"DHOVIN001";"Semra";"semra.dhovin001";"semra.dhovin001";"wydrszxx";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"1STD2A, 1STMG5";"";""
"1930073";"";"Enseignant";"DISI001";"Mahame";"mahame.disi001";"mahame.disi001";"hddh8e6z";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-BREQUIGNY-RENNES";"T01, TST2S1, T04, TST2S3, TSTMG3, T05, 1STMG1, T11, 1ST2S2, TSTL1, TSTD2A, TSTI2D3, TSTMG2, 106, 112, 107, 105, 110, 104, 202, 1STMG3, 213, 212, T06, T08, T10, TSTMG1, T02";"";""
"715832";"";"Enseignant";"DIXON001";"Yves-Louis";"yves-louis.dixon001";"yves-louis.dixon001";"63pmpne8";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"TSTMG4, 1ST2S3, 1STI2D2";"";""
"825644";"";"Enseignant";"DJIGUIBA001";"Francisque";"francisque.djiguiba001";"francisque.djiguiba001";"hyb88kpg";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"112, 211, 205, 201, 103, 1ST2S2";"";""
"1940438";"";"Enseignant";"DOMINICI001";"Ousseynou";"ousseynou.dominici001";"ousseynou.dominici001";"rypcrxn3";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"105, T03, DNMADE3, DNMADE2, T04, T01, TSTMG1";"";""
"350139";"";"Enseignant";"DORAN001";"Mélinda";"melinda.doran001";"melinda.doran001";"8fhjk3ty";"ALLEMAND, ALLEMAND";"LGT-BREQUIGNY-RENNES";"201, 202, 214, 206, 204, 205, 217, 208, 211, 207, 203, 216";"";""
"533320";"";"Enseignant";"DOWDALL001";"Germano";"germano.dowdall001";"germano.dowdall001";"vnne8b58";"ECONOMIE ET GESTION";"LGT-BREQUIGNY-RENNES";"DCG2, DCG1";"";""
"1385443";"";"Enseignant";"DRAGO001";"Jahnaël";"jahnael.drago001";"jahnael.drago001";"9e8b467h";"MATHEMATIQUES, MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"205, 210";"";""
"34724";"";"Enseignant";"DUANE001";"Chrysoline";"chrysoline.duane001";"chrysoline.duane001";"fenrzmz8";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"203, 112, 108, TSTD2A, 107, T11, 105, 106, T12, 111, T04, 104, T08, T07, 109, 110, T06, T10, T09, T05";"";""
"168163";"";"Enseignant";"EAS001";"Neill";"neill.eas001";"neill.eas001";"ttv9ndrr";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"108, 111, 107, T05, DSAA2, T09, TSTMG5, T07, T06, DSAA1, TST2S1";"";""
"833110";"";"Enseignant";"ELLIS001";"Emrick";"emrick.ellis001";"emrick.ellis001";"4sfntj67";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"DSAA1";"";""
"1103731";"";"Enseignant";"FABRIS001";"Saphir";"saphir.fabris001";"saphir.fabris001";"nkyk7ed6";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"DNMADE2, DNMADE1, DNMADE3";"";""
"1651908";"";"Enseignant";"FAGAN001";"Hanitra";"hanitra.fagan001";"hanitra.fagan001";"7dskwm9k";"SII OPTION INGENIERIE MECANIQUE, SII OPTION INGENIERIE MECANIQUE";"LGT-BREQUIGNY-RENNES";"217, 213, 112, 1STI2D2, 102";"";""
"468250";"";"Enseignant";"FAIZ001";"Myrna";"myrna.faiz001";"myrna.faiz001";"c7cfzswt";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"209, TSTMG5, T03, 216, T06, TST2S3";"";""
"1564643";"";"Enseignant";"FAROOQ001";"Secilia";"secilia.farooq001";"secilia.farooq001";"vs5thgkc";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"BTS1SPS, BTS1ATI, T05, T08, 110, 105";"";""
"1152213";"";"Enseignant";"FLORIS001";"Jaouade";"jaouade.floris001";"jaouade.floris001";"bwhbrep8";"SCIENCES PHYSIQUES ET CHIMIQUES, PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-BREQUIGNY-RENNES";"BTS2SNEC, BTS1ATI, BTS2ATI";"";""
"1040112";"";"Enseignant";"FOGARTY001";"Kyril";"kyril.fogarty001";"kyril.fogarty001";"5vnc6p89";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"BTS2ATI, TSTMG4, BTS2SPS, 1STMG1, BTS1ATI";"";""
"1901975";"";"Enseignant";"FOIS001";"Naurine";"naurine.fois001";"naurine.fois001";"36h63sck";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"T05, T07, T10, T08, T06, T09, 108, 112, 214, 110, 106, 111, 107, 104, 105, 109, 1STI2D2, T11, T04, T12";"";""
"1342917";"";"Enseignant";"FORD001";"Yléana";"yleana.ford001";"yleana.ford001";"bv85xv5x";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES";"211, 1ST2S2, T01, TST2S3";"";""
"1046262";"";"Enseignant";"FRANCESCHI001";"Izel";"izel.franceschi001";"izel.franceschi001";"tdcwyx6w";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-BREQUIGNY-RENNES";"112, 202, 204, T09, T10, T12, T11, 105, T07, 110, 109, 111, 103, T08";"";""
"1604630";"";"Enseignant";"FRANK001";"Aimed";"aimed.frank001";"aimed.frank001";"tvny8np6";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-BREQUIGNY-RENNES, LP-BREQUIGNY-RENNES";"T07, T05, 1STMG4, T08, TSTI2D1, T09, TSTMG1, T06, 103, 111, 1ST2S1, T12, T03, 1STI2D1, 1ST2S3, TSTMG4, TSTL1, TSTD2A, TSTMG5, T04, TST2S2, TSTI2D2, 1STI2D3, 204, 1STMG5, 1STD2A, 108, 2 RC2, 2ANIMAT, 2ASP DOM";"";""
"1489318";"";"Enseignant";"FUREY001";"Sayah";"sayah.furey001";"sayah.furey001";"f74n5s7r";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"213, 208, T12, 102, 1STMG5, 104";"";""
"1024536";"";"Enseignant";"GALLO001";"Orlana";"orlana.gallo001";"orlana.gallo001";"s7gb57vn";"SANS OBJET, PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"";"";""
"1061848";"";"Enseignant";"GAMBA001";"Marie-Bernard";"marie-bernard.gamba001";"marie-bernard.gamba001";"kkm4bkmk";"SANS OBJET";"LGT-BREQUIGNY-RENNES";"";"";""
"1081888";"";"Enseignant";"GARDNER001";"Hippolyte";"hippolyte.gardner001";"hippolyte.gardner001";"brwpmrsh";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-BREQUIGNY-RENNES";"BTS1SPS, TST2S2, BTS2SPS, TST2S3";"";""
"457046";"";"Enseignant";"GARRETT001";"Numa";"numa.garrett001";"numa.garrett001";"nktr3nr4";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-BREQUIGNY-RENNES, CLG-FRANCOISE DOLTO-PACE, LGT-RENE DESCARTES-RENNES";"102, 211, 217, , 1G7, 1G4, 2NDE2, 2NDE5";"";""
"1773219";"";"Enseignant";"GIARDINA001";"Mondher";"mondher.giardina001";"mondher.giardina001";"7dbzzkvv";"SANS OBJET, MATHEMATIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BREQUIGNY-RENNES, CLG-DE FONTENAY-CHARTRES-DE-BRETAGNE";"";"";""
"197194";"";"Enseignant";"GIBBS001";"Zerya";"zerya.gibbs001";"zerya.gibbs001";"s9rm4esa";"HISTOIRE GEOGRAPHIE";"LGT-BREQUIGNY-RENNES";"216, 215, TSTMG4, TSTL1, T11, T08";"";""
"369685";"";"Enseignant";"GILMORE001";"Thalyana";"thalyana.gilmore001";"thalyana.gilmore001";"ghw6xg7p";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"TSTI2D1, BTS2ATI, TSTI2D3, 204";"";""
"975224";"";"Enseignant";"GODFREY001";"Qiyam";"qiyam.godfrey001";"qiyam.godfrey001";"f3r9nsss";"SANS OBJET";"LGT-BREQUIGNY-RENNES";"";"";""
"628502";"";"Enseignant";"GORO001";"Laiana";"laiana.goro001";"laiana.goro001";"kpppxtx3";"SANS OBJET, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-BREQUIGNY-RENNES";"208, TSTD2A";"";""
"630687";"";"Enseignant";"GREENING001";"Kaella";"kaella.greening001";"kaella.greening001";"m3cbae6x";"ANGLAIS";"LGT-BREQUIGNY-RENNES";"207, 108, 112, T05, T09, T10, T12, BTS2ABM, 106, T11, 105, 107, T08, 104, T04, 111, T06, 109, 110, T07, BTS1ABM, DSAA1";"";""
"1284616";"";"Enseignant";"GRENNAN001";"Roua";"roua.grennan001";"roua.grennan001";"fhwcnbby";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"TSTMG4, TSTMG3, DNMADE3, BTS1CG";"";""
